Timestep,Susceptibles,Infected,Recovered,US Debt,US GDP,Post-productivity,Current Subsidy Quantitative Policy Level,Total Subsidies,US Tax Wedge,US Federal Deficit,US Federal Interest Payment,US Government Revenue,US Health Index,Defense Imperialism Spending,Income Security Spending,Social Security Spending,Medicare Medicaid Spending,Federal Reserve Balance Sheet,Inflation,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Reward,Reward Social Welfare
540,138370200000.0,442068670.0,39034937000.0,17022988404807.115,22810000000000,57136554000.0,0,0.0,0.1630441,-153310390.23376083,1063226069.6237082,10189139199.583498,[510.1735],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9730257732375189,0.9730257732375189
570,139581050000.0,442184600.0,47686107000.0,17018384637843.854,22810000000000,57165525000.0,0,0.0,0.1630441,-153597912.91518402,1062938546.942285,10189139199.583498,[540.76385],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9738442358912824,0.9738442358912824
600,140001150000.0,442202100.0,57128130000.0,17013772236844.635,22810000000000,57329357000.0,0,0.0,0.1630441,-153885974.82485008,1062650485.0326189,10189139199.583498,[571.3638],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9777687578673802,0.9777687578673802
630,140023550000.0,442204160.0,66967867000.0,17009151185616.934,22810000000000,57390360000.0,0,0.0,0.1630441,-154174576.9740448,1062361882.8834255,10189139199.583498,[601.96545],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9790322441629458,0.9790322441629458
30,10128548000.0,31405414.0,30922594.0,16910340057698.977,21466585914800.0,37935940000.0,0,0.0,0.1630441,411683940.1438675,1028122499.2216817,9589041298.803843,[27.852333],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.24581991089077826,0.24581991089077826
60,19843269000.0,66540296.0,143203140.0,16922702221862.273,21466585914800.0,40892300000.0,0,0.0,0.1630441,412435513.1916828,1028874072.2694967,9589041298.803843,[55.164257],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.42686530685306917,0.42686530685306917
90,29514813000.0,86709680.0,313625150.0,16935086954477.95,21466585914800.0,43966970000.0,0,0.0,0.1630441,413188458.3164501,1029627017.3942646,9589041298.803843,[83.878784],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.5731834311551056,0.5731834311551056
120,39156960000.0,100836090.0,519488000.0,16947494296747.121,21466585914800.0,44938658000.0,0,0.0,0.1630441,413942778.0230446,1030381337.1008584,9589041298.803843,[113.17451],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.6126315383083497,0.6126315383083497
150,48770007000.0,114580376.0,754837250.0,16959924289946.137,21466585914800.0,45681148000.0,0,0.0,0.1630441,414698474.8209114,1031137033.8987249,9589041298.803843,[142.51341],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.637048352191367,0.637048352191367
180,58351650000.0,129393820.0,1020518500.0,16972376975426.695,21466585914800.0,46548940000.0,0,0.0,0.1630441,415455551.2240772,1031894110.3018914,9589041298.803843,[171.75797],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.661645319015472,0.661645319015472
